num_pools,num_channels,pool_type,pool_stride,skip_connections,avg_radius,sigma_back,epochs,IoU,path
1,2,max,2,1,20,2.5,150,0.9546084349155426,results/rad20_sig2.5_ch2_pools1_max_stride2_skip1_150E
2,2,max,2,1-1,20,2.5,150,0.9573218542337418,results/rad20_sig2.5_ch2_pools2_max_stride2_skip1-1_150E
3,2,max,2,1-1-1,20,2.5,150,0.9500790784358978,results/rad20_sig2.5_ch2_pools3_max_stride2_skip1-1-1_150E
4,2,max,2,1-1-1-1,20,2.5,150,0.9684874757528306,results/rad20_sig2.5_ch2_pools4_max_stride2_skip1-1-1-1_150E
5,2,max,2,1-1-1-1-1,20,2.5,150,0.9520387817621232,results/rad20_sig2.5_ch2_pools5_max_stride2_skip1-1-1-1-1_150E
1,4,max,2,1,20,2.5,150,0.94395617043972,results/rad20_sig2.5_ch4_pools1_max_stride2_skip1_150E
2,4,max,2,1-1,20,2.5,150,0.9632764843702316,results/rad20_sig2.5_ch4_pools2_max_stride2_skip1-1_150E
3,4,max,2,1-1-1,20,2.5,150,0.9754428547620771,results/rad20_sig2.5_ch4_pools3_max_stride2_skip1-1-1_150E
4,4,max,2,1-1-1-1,20,2.5,150,0.9711938481330872,results/rad20_sig2.5_ch4_pools4_max_stride2_skip1-1-1-1_150E
5,4,max,2,1-1-1-1-1,20,2.5,150,0.9460351020097733,results/rad20_sig2.5_ch4_pools5_max_stride2_skip1-1-1-1-1_150E
1,8,max,2,1,20,2.5,150,0.9679570051431656,results/rad20_sig2.5_ch8_pools1_max_stride2_skip1_150E
2,8,max,2,1-1,20,2.5,150,0.9802153590917588,results/rad20_sig2.5_ch8_pools2_max_stride2_skip1-1_150E
3,8,max,2,1-1-1,20,2.5,150,0.9779516818523406,results/rad20_sig2.5_ch8_pools3_max_stride2_skip1-1-1_150E
4,8,max,2,1-1-1-1,20,2.5,150,0.9672329394817352,results/rad20_sig2.5_ch8_pools4_max_stride2_skip1-1-1-1_150E
5,8,max,2,1-1-1-1-1,20,2.5,150,0.970573467373848,results/rad20_sig2.5_ch8_pools5_max_stride2_skip1-1-1-1-1_150E
1,16,max,2,1,20,2.5,150,0.977320381641388,results/rad20_sig2.5_ch16_pools1_max_stride2_skip1_150E
2,16,max,2,1-1,20,2.5,150,0.9851310920715332,results/rad20_sig2.5_ch16_pools2_max_stride2_skip1-1_150E
3,16,max,2,1-1-1,20,2.5,150,0.9764245035648348,results/rad20_sig2.5_ch16_pools3_max_stride2_skip1-1-1_150E
4,16,max,2,1-1-1-1,20,2.5,150,0.9779710969924926,results/rad20_sig2.5_ch16_pools4_max_stride2_skip1-1-1-1_150E
5,16,max,2,1-1-1-1-1,20,2.5,150,0.9720329879522324,results/rad20_sig2.5_ch16_pools5_max_stride2_skip1-1-1-1-1_150E
1,32,max,2,1,20,2.5,150,0.9841292575597764,results/rad20_sig2.5_ch32_pools1_max_stride2_skip1_150E
2,32,max,2,1-1,20,2.5,150,0.986559072971344,results/rad20_sig2.5_ch32_pools2_max_stride2_skip1-1_150E
3,32,max,2,1-1-1,20,2.5,150,0.98358149600029,results/rad20_sig2.5_ch32_pools3_max_stride2_skip1-1-1_150E
4,32,max,2,1-1-1-1,20,2.5,150,0.9784216272830965,results/rad20_sig2.5_ch32_pools4_max_stride2_skip1-1-1-1_150E
5,32,max,2,1-1-1-1-1,20,2.5,150,0.9804440900087356,results/rad20_sig2.5_ch32_pools5_max_stride2_skip1-1-1-1-1_150E
1,2,max,2,1,20,5.0,150,0.9423254679441452,results/rad20_sig5.0_ch2_pools1_max_stride2_skip1_150E
2,2,max,2,1-1,20,5.0,150,0.9264935141801834,results/rad20_sig5.0_ch2_pools2_max_stride2_skip1-1_150E
3,2,max,2,1-1-1,20,5.0,150,0.3667472991943359,results/rad20_sig5.0_ch2_pools3_max_stride2_skip1-1-1_150E
4,2,max,2,1-1-1-1,20,5.0,150,0.9701457884311676,results/rad20_sig5.0_ch2_pools4_max_stride2_skip1-1-1-1_150E
5,2,max,2,1-1-1-1-1,20,5.0,150,0.9455329158306122,results/rad20_sig5.0_ch2_pools5_max_stride2_skip1-1-1-1-1_150E
1,4,max,2,1,20,5.0,150,0.9674285894632338,results/rad20_sig5.0_ch4_pools1_max_stride2_skip1_150E
2,4,max,2,1-1,20,5.0,150,0.9668032026290894,results/rad20_sig5.0_ch4_pools2_max_stride2_skip1-1_150E
3,4,max,2,1-1-1,20,5.0,150,0.9666519511938094,results/rad20_sig5.0_ch4_pools3_max_stride2_skip1-1-1_150E
4,4,max,2,1-1-1-1,20,5.0,150,0.9725202445983888,results/rad20_sig5.0_ch4_pools4_max_stride2_skip1-1-1-1_150E
5,4,max,2,1-1-1-1-1,20,5.0,150,0.9641582181453704,results/rad20_sig5.0_ch4_pools5_max_stride2_skip1-1-1-1-1_150E
1,8,max,2,1,20,5.0,150,0.972613029718399,results/rad20_sig5.0_ch8_pools1_max_stride2_skip1_150E
2,8,max,2,1-1,20,5.0,150,0.9797423113584518,results/rad20_sig5.0_ch8_pools2_max_stride2_skip1-1_150E
3,8,max,2,1-1-1,20,5.0,150,0.981172354221344,results/rad20_sig5.0_ch8_pools3_max_stride2_skip1-1-1_150E
4,8,max,2,1-1-1-1,20,5.0,150,0.9748692960739136,results/rad20_sig5.0_ch8_pools4_max_stride2_skip1-1-1-1_150E
5,8,max,2,1-1-1-1-1,20,5.0,150,0.9781316388845444,results/rad20_sig5.0_ch8_pools5_max_stride2_skip1-1-1-1-1_150E
1,16,max,2,1,20,5.0,150,0.9829505058526992,results/rad20_sig5.0_ch16_pools1_max_stride2_skip1_150E
2,16,max,2,1-1,20,5.0,150,0.9831132321357728,results/rad20_sig5.0_ch16_pools2_max_stride2_skip1-1_150E
3,16,max,2,1-1-1,20,5.0,150,0.9813395575284958,results/rad20_sig5.0_ch16_pools3_max_stride2_skip1-1-1_150E
4,16,max,2,1-1-1-1,20,5.0,150,0.976932932972908,results/rad20_sig5.0_ch16_pools4_max_stride2_skip1-1-1-1_150E
5,16,max,2,1-1-1-1-1,20,5.0,150,0.977122943162918,results/rad20_sig5.0_ch16_pools5_max_stride2_skip1-1-1-1-1_150E
1,32,max,2,1,20,5.0,150,0.9865053075551986,results/rad20_sig5.0_ch32_pools1_max_stride2_skip1_150E
2,32,max,2,1-1,20,5.0,150,0.9829283483028411,results/rad20_sig5.0_ch32_pools2_max_stride2_skip1-1_150E
3,32,max,2,1-1-1,20,5.0,150,0.983666400194168,results/rad20_sig5.0_ch32_pools3_max_stride2_skip1-1-1_150E
4,32,max,2,1-1-1-1,20,5.0,150,0.9799432058334352,results/rad20_sig5.0_ch32_pools4_max_stride2_skip1-1-1-1_150E
5,32,max,2,1-1-1-1-1,20,5.0,150,0.9791187272071838,results/rad20_sig5.0_ch32_pools5_max_stride2_skip1-1-1-1-1_150E
1,2,max,2,1,20,7.5,150,0.962793063044548,results/rad20_sig7.5_ch2_pools1_max_stride2_skip1_150E
2,2,max,2,1-1,20,7.5,150,0.9358517318964004,results/rad20_sig7.5_ch2_pools2_max_stride2_skip1-1_150E
3,2,max,2,1-1-1,20,7.5,150,0.9709217765331268,results/rad20_sig7.5_ch2_pools3_max_stride2_skip1-1-1_150E
4,2,max,2,1-1-1-1,20,7.5,150,0.9654085932970048,results/rad20_sig7.5_ch2_pools4_max_stride2_skip1-1-1-1_150E
5,2,max,2,1-1-1-1-1,20,7.5,150,0.9411746493577956,results/rad20_sig7.5_ch2_pools5_max_stride2_skip1-1-1-1-1_150E
1,4,max,2,1,20,7.5,150,0.9668461195230484,results/rad20_sig7.5_ch4_pools1_max_stride2_skip1_150E
2,4,max,2,1-1,20,7.5,150,0.973263702750206,results/rad20_sig7.5_ch4_pools2_max_stride2_skip1-1_150E
3,4,max,2,1-1-1,20,7.5,150,0.9738984152078628,results/rad20_sig7.5_ch4_pools3_max_stride2_skip1-1-1_150E
4,4,max,2,1-1-1-1,20,7.5,150,0.9681891813278198,results/rad20_sig7.5_ch4_pools4_max_stride2_skip1-1-1-1_150E
5,4,max,2,1-1-1-1-1,20,7.5,150,0.963391481757164,results/rad20_sig7.5_ch4_pools5_max_stride2_skip1-1-1-1-1_150E
1,8,max,2,1,20,7.5,150,0.9760007266998292,results/rad20_sig7.5_ch8_pools1_max_stride2_skip1_150E
2,8,max,2,1-1,20,7.5,150,0.9803209409713745,results/rad20_sig7.5_ch8_pools2_max_stride2_skip1-1_150E
3,8,max,2,1-1-1,20,7.5,150,0.981982421875,results/rad20_sig7.5_ch8_pools3_max_stride2_skip1-1-1_150E
