num_pools,num_channels,pool_type,pool_stride,skip_connections,avg_radius,sigma_back,epochs,IoU,path
1,2,max,2,1,20,2.5,100,0.9545215091705324,results/rad20_sig2.5_ch2_pools1_max_stride2_skip1_100E
2,2,max,2,1-1,20,2.5,100,0.9563619064092636,results/rad20_sig2.5_ch2_pools2_max_stride2_skip1-1_100E
3,2,max,2,1-1-1,20,2.5,100,0.9709380449056626,results/rad20_sig2.5_ch2_pools3_max_stride2_skip1-1-1_100E
4,2,max,2,1-1-1-1,20,2.5,100,0.9379400404691696,results/rad20_sig2.5_ch2_pools4_max_stride2_skip1-1-1-1_100E
5,2,max,2,1-1-1-1-1,20,2.5,100,0.950786591887474,results/rad20_sig2.5_ch2_pools5_max_stride2_skip1-1-1-1-1_100E
1,4,max,2,1,20,2.5,100,0.9598397537469864,results/rad20_sig2.5_ch4_pools1_max_stride2_skip1_100E
2,4,max,2,1-1,20,2.5,100,0.9656057139635086,results/rad20_sig2.5_ch4_pools2_max_stride2_skip1-1_100E
3,4,max,2,1-1-1,20,2.5,100,0.9654870028495788,results/rad20_sig2.5_ch4_pools3_max_stride2_skip1-1-1_100E
4,4,max,2,1-1-1-1,20,2.5,100,0.9611370000839234,results/rad20_sig2.5_ch4_pools4_max_stride2_skip1-1-1-1_100E
5,4,max,2,1-1-1-1-1,20,2.5,100,0.949561360359192,results/rad20_sig2.5_ch4_pools5_max_stride2_skip1-1-1-1-1_100E
1,8,max,2,1,20,2.5,100,0.9598185181617738,results/rad20_sig2.5_ch8_pools1_max_stride2_skip1_100E
2,8,max,2,1-1,20,2.5,100,0.9715370979309084,results/rad20_sig2.5_ch8_pools2_max_stride2_skip1-1_100E
3,8,max,2,1-1-1,20,2.5,100,0.9740823212862014,results/rad20_sig2.5_ch8_pools3_max_stride2_skip1-1-1_100E
4,8,max,2,1-1-1-1,20,2.5,100,0.9661644253730776,results/rad20_sig2.5_ch8_pools4_max_stride2_skip1-1-1-1_100E
5,8,max,2,1-1-1-1-1,20,2.5,100,0.97101465010643,results/rad20_sig2.5_ch8_pools5_max_stride2_skip1-1-1-1-1_100E
1,16,max,2,1,20,2.5,100,0.9711003350019456,results/rad20_sig2.5_ch16_pools1_max_stride2_skip1_100E
2,16,max,2,1-1,20,2.5,100,0.9804618059396744,results/rad20_sig2.5_ch16_pools2_max_stride2_skip1-1_100E
3,16,max,2,1-1-1,20,2.5,100,0.9805841600894928,results/rad20_sig2.5_ch16_pools3_max_stride2_skip1-1-1_100E
4,16,max,2,1-1-1-1,20,2.5,100,0.9728871523141862,results/rad20_sig2.5_ch16_pools4_max_stride2_skip1-1-1-1_100E
5,16,max,2,1-1-1-1-1,20,2.5,100,0.973356589436531,results/rad20_sig2.5_ch16_pools5_max_stride2_skip1-1-1-1-1_100E
1,32,max,2,1,20,2.5,100,0.982255173444748,results/rad20_sig2.5_ch32_pools1_max_stride2_skip1_100E
2,32,max,2,1-1,20,2.5,100,0.9832329344749452,results/rad20_sig2.5_ch32_pools2_max_stride2_skip1-1_100E
3,32,max,2,1-1-1,20,2.5,100,0.9877444927692414,results/rad20_sig2.5_ch32_pools3_max_stride2_skip1-1-1_100E
4,32,max,2,1-1-1-1,20,2.5,100,0.9832941530942916,results/rad20_sig2.5_ch32_pools4_max_stride2_skip1-1-1-1_100E
5,32,max,2,1-1-1-1-1,20,2.5,100,0.9847412736415864,results/rad20_sig2.5_ch32_pools5_max_stride2_skip1-1-1-1-1_100E
1,2,max,2,1,20,5.0,100,0.9670871015787124,results/rad20_sig5.0_ch2_pools1_max_stride2_skip1_100E
2,2,max,2,1-1,20,5.0,100,0.9659729232788086,results/rad20_sig5.0_ch2_pools2_max_stride2_skip1-1_100E
3,2,max,2,1-1-1,20,5.0,100,0.959298194527626,results/rad20_sig5.0_ch2_pools3_max_stride2_skip1-1-1_100E
4,2,max,2,1-1-1-1,20,5.0,100,0.9602321081161498,results/rad20_sig5.0_ch2_pools4_max_stride2_skip1-1-1-1_100E
5,2,max,2,1-1-1-1-1,20,5.0,100,0.9633419905900956,results/rad20_sig5.0_ch2_pools5_max_stride2_skip1-1-1-1-1_100E
1,4,max,2,1,20,5.0,100,0.9697607270479204,results/rad20_sig5.0_ch4_pools1_max_stride2_skip1_100E
2,4,max,2,1-1,20,5.0,100,0.9672697036266328,results/rad20_sig5.0_ch4_pools2_max_stride2_skip1-1_100E
3,4,max,2,1-1-1,20,5.0,100,0.9659956781864169,results/rad20_sig5.0_ch4_pools3_max_stride2_skip1-1-1_100E
4,4,max,2,1-1-1-1,20,5.0,100,0.9642115613222122,results/rad20_sig5.0_ch4_pools4_max_stride2_skip1-1-1-1_100E
5,4,max,2,1-1-1-1-1,20,5.0,100,0.9534814524650574,results/rad20_sig5.0_ch4_pools5_max_stride2_skip1-1-1-1-1_100E
1,8,max,2,1,20,5.0,100,0.9622595834732056,results/rad20_sig5.0_ch8_pools1_max_stride2_skip1_100E
2,8,max,2,1-1,20,5.0,100,0.9739339928627014,results/rad20_sig5.0_ch8_pools2_max_stride2_skip1-1_100E
3,8,max,2,1-1-1,20,5.0,100,0.9772181987762452,results/rad20_sig5.0_ch8_pools3_max_stride2_skip1-1-1_100E
4,8,max,2,1-1-1-1,20,5.0,100,0.9749330295324324,results/rad20_sig5.0_ch8_pools4_max_stride2_skip1-1-1-1_100E
5,8,max,2,1-1-1-1-1,20,5.0,100,0.9621090201139452,results/rad20_sig5.0_ch8_pools5_max_stride2_skip1-1-1-1-1_100E
1,16,max,2,1,20,5.0,100,0.977300947546959,results/rad20_sig5.0_ch16_pools1_max_stride2_skip1_100E
2,16,max,2,1-1,20,5.0,100,0.9772994225025178,results/rad20_sig5.0_ch16_pools2_max_stride2_skip1-1_100E
3,16,max,2,1-1-1,20,5.0,100,0.9734443870782852,results/rad20_sig5.0_ch16_pools3_max_stride2_skip1-1-1_100E
4,16,max,2,1-1-1-1,20,5.0,100,0.9777422544956208,results/rad20_sig5.0_ch16_pools4_max_stride2_skip1-1-1-1_100E
5,16,max,2,1-1-1-1-1,20,5.0,100,0.9819091769456862,results/rad20_sig5.0_ch16_pools5_max_stride2_skip1-1-1-1-1_100E
1,32,max,2,1,20,5.0,100,0.983549595952034,results/rad20_sig5.0_ch32_pools1_max_stride2_skip1_100E
2,32,max,2,1-1,20,5.0,100,0.987353308558464,results/rad20_sig5.0_ch32_pools2_max_stride2_skip1-1_100E
3,32,max,2,1-1-1,20,5.0,100,0.98823872756958,results/rad20_sig5.0_ch32_pools3_max_stride2_skip1-1-1_100E
4,32,max,2,1-1-1-1,20,5.0,100,0.983820586323738,results/rad20_sig5.0_ch32_pools4_max_stride2_skip1-1-1-1_100E
5,32,max,2,1-1-1-1-1,20,5.0,100,0.9839300229549408,results/rad20_sig5.0_ch32_pools5_max_stride2_skip1-1-1-1-1_100E
1,2,max,2,1,20,7.5,100,0.9532331203222276,results/rad20_sig7.5_ch2_pools1_max_stride2_skip1_100E
2,2,max,2,1-1,20,7.5,100,0.9663674094676972,results/rad20_sig7.5_ch2_pools2_max_stride2_skip1-1_100E
3,2,max,2,1-1-1,20,7.5,100,0.9499769109487536,results/rad20_sig7.5_ch2_pools3_max_stride2_skip1-1-1_100E
4,2,max,2,1-1-1-1,20,7.5,100,0.6394198186397553,results/rad20_sig7.5_ch2_pools4_max_stride2_skip1-1-1-1_100E
5,2,max,2,1-1-1-1-1,20,7.5,100,0.6349483450651169,results/rad20_sig7.5_ch2_pools5_max_stride2_skip1-1-1-1-1_100E
1,4,max,2,1,20,7.5,100,0.9661265627145768,results/rad20_sig7.5_ch4_pools1_max_stride2_skip1_100E
2,4,max,2,1-1,20,7.5,100,0.970621433019638,results/rad20_sig7.5_ch4_pools2_max_stride2_skip1-1_100E
3,4,max,2,1-1-1,20,7.5,100,0.9716165591478348,results/rad20_sig7.5_ch4_pools3_max_stride2_skip1-1-1_100E
4,4,max,2,1-1-1-1,20,7.5,100,0.977181457400322,results/rad20_sig7.5_ch4_pools4_max_stride2_skip1-1-1-1_100E
5,4,max,2,1-1-1-1-1,20,7.5,100,0.9623200635910034,results/rad20_sig7.5_ch4_pools5_max_stride2_skip1-1-1-1-1_100E
1,8,max,2,1,20,7.5,100,0.964871681690216,results/rad20_sig7.5_ch8_pools1_max_stride2_skip1_100E
2,8,max,2,1-1,20,7.5,100,0.9703424377441408,results/rad20_sig7.5_ch8_pools2_max_stride2_skip1-1_100E
3,8,max,2,1-1-1,20,7.5,100,0.976755202293396,results/rad20_sig7.5_ch8_pools3_max_stride2_skip1-1-1_100E
4,8,max,2,1-1-1-1,20,7.5,100,0.9740163160562516,results/rad20_sig7.5_ch8_pools4_max_stride2_skip1-1-1-1_100E
5,8,max,2,1-1-1-1-1,20,7.5,100,0.9682429784536362,results/rad20_sig7.5_ch8_pools5_max_stride2_skip1-1-1-1-1_100E
1,16,max,2,1,20,7.5,100,0.9779359538555146,results/rad20_sig7.5_ch16_pools1_max_stride2_skip1_100E
